indicator_id,cartodb_id,iso,sub_nat_id,boundary,boundary_id,thresh,country,year,value,province,boundary_name,indicator_name,units
13,940653,MEX,,admin,1,30,Mexico,2004,10.23783417,,administrative boundary,AGC loss WH in TgC,Tg C
13,940659,MEX,,admin,1,30,Mexico,2005,12.61424174,,administrative boundary,AGC loss WH in TgC,Tg C
13,940665,MEX,,admin,1,30,Mexico,2006,10.71581871,,administrative boundary,AGC loss WH in TgC,Tg C
13,940671,MEX,,admin,1,30,Mexico,2007,13.6704637,,administrative boundary,AGC loss WH in TgC,Tg C
13,940677,MEX,,admin,1,30,Mexico,2008,11.49518926,,administrative boundary,AGC loss WH in TgC,Tg C
13,940683,MEX,,admin,1,30,Mexico,2009,16.98818537,,administrative boundary,AGC loss WH in TgC,Tg C
13,940689,MEX,,admin,1,30,Mexico,2010,10.75728287,,administrative boundary,AGC loss WH in TgC,Tg C
13,940694,MEX,,admin,1,30,Mexico,2011,11.74722151,,administrative boundary,AGC loss WH in TgC,Tg C
13,940700,MEX,,admin,1,30,Mexico,2012,11.03344544,,administrative boundary,AGC loss WH in TgC,Tg C
13,940706,MEX,,admin,1,30,Mexico,2013,13.58702226,,administrative boundary,AGC loss WH in TgC,Tg C
13,940712,MEX,,admin,1,30,Mexico,2014,10.55319212,,administrative boundary,AGC loss WH in TgC,Tg C
13,940718,MEX,,admin,1,30,Mexico,2015,12.25003323,,administrative boundary,AGC loss WH in TgC,Tg C
13,940724,MEX,,admin,1,30,Mexico,2016,17.30655247,,administrative boundary,AGC loss WH in TgC,Tg C
14,940251,MEX,,admin,1,10,Mexico,2001,36.76790697,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940257,MEX,,admin,1,10,Mexico,2002,36.34774944,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940263,MEX,,admin,1,10,Mexico,2003,33.60308211,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940269,MEX,,admin,1,10,Mexico,2004,37.96013524,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940275,MEX,,admin,1,10,Mexico,2005,46.85256588,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940281,MEX,,admin,1,10,Mexico,2006,39.76199641,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940287,MEX,,admin,1,10,Mexico,2007,50.70297395,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940293,MEX,,admin,1,10,Mexico,2008,42.58655714,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940299,MEX,,admin,1,10,Mexico,2009,62.88570811,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940305,MEX,,admin,1,10,Mexico,2010,39.84923655,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940311,MEX,,admin,1,10,Mexico,2011,43.49183047,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940317,MEX,,admin,1,10,Mexico,2012,41.02147757,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940323,MEX,,admin,1,10,Mexico,2013,50.93828439,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940329,MEX,,admin,1,10,Mexico,2014,39.71296392,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940335,MEX,,admin,1,10,Mexico,2015,45.97435274,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940341,MEX,,admin,1,10,Mexico,2016,65.00171987,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940636,MEX,,admin,1,30,Mexico,2001,36.3753627,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940642,MEX,,admin,1,30,Mexico,2002,36.00141757,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940648,MEX,,admin,1,30,Mexico,2003,33.30864239,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940654,MEX,,admin,1,30,Mexico,2004,37.5728514,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940660,MEX,,admin,1,30,Mexico,2005,46.2942672,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940666,MEX,,admin,1,30,Mexico,2006,39.32705466,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940672,MEX,,admin,1,30,Mexico,2007,50.17060178,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940678,MEX,,admin,1,30,Mexico,2008,42.1873446,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940684,MEX,,admin,1,30,Mexico,2009,62.34664032,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940690,MEX,,admin,1,30,Mexico,2010,39.47922814,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940695,MEX,,admin,1,30,Mexico,2011,43.11230294,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940701,MEX,,admin,1,30,Mexico,2012,40.49274476,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940707,MEX,,admin,1,30,Mexico,2013,49.86437169,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940713,MEX,,admin,1,30,Mexico,2014,38.73021507,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940719,MEX,,admin,1,30,Mexico,2015,44.95762196,,administrative boundary,AGC loss WH in MtC02,MtC02
14,940725,MEX,,admin,1,30,Mexico,2016,63.51504755,,administrative boundary,AGC loss WH in MtC02,MtC02
1,965565,MEX,,pra,24,10,Mexico,2001,7910.905489,,Protected Areas,Tree cover loss,hectares
1,965571,MEX,,pra,24,10,Mexico,2002,7406.625386,,Protected Areas,Tree cover loss,hectares
1,965577,MEX,,pra,24,10,Mexico,2003,6869.305773,,Protected Areas,Tree cover loss,hectares
1,965583,MEX,,pra,24,10,Mexico,2004,9023.094227,,Protected Areas,Tree cover loss,hectares
1,965589,MEX,,pra,24,10,Mexico,2005,10287.98352,,Protected Areas,Tree cover loss,hectares
1,965595,MEX,,pra,24,10,Mexico,2006,7730.649126,,Protected Areas,Tree cover loss,hectares
1,965601,MEX,,pra,24,10,Mexico,2007,9650.110603,,Protected Areas,Tree cover loss,hectares
1,965607,MEX,,pra,24,10,Mexico,2008,9620.62246,,Protected Areas,Tree cover loss,hectares
1,965613,MEX,,pra,24,10,Mexico,2009,19587.54481,,Protected Areas,Tree cover loss,hectares
1,965619,MEX,,pra,24,10,Mexico,2010,9468.772343,,Protected Areas,Tree cover loss,hectares
1,965625,MEX,,pra,24,10,Mexico,2011,11520.11587,,Protected Areas,Tree cover loss,hectares
1,965631,MEX,,pra,24,10,Mexico,2012,9602.336631,,Protected Areas,Tree cover loss,hectares
1,965637,MEX,,pra,24,10,Mexico,2013,15410.02811,,Protected Areas,Tree cover loss,hectares
1,965643,MEX,,pra,24,10,Mexico,2014,8677.378182,,Protected Areas,Tree cover loss,hectares
1,965649,MEX,,pra,24,10,Mexico,2015,11516.91239,,Protected Areas,Tree cover loss,hectares
1,965655,MEX,,pra,24,10,Mexico,2016,16094.60558,,Protected Areas,Tree cover loss,hectares
1,965946,MEX,,pra,24,30,Mexico,2001,7763.574847,,Protected Areas,Tree cover loss,hectares
1,965952,MEX,,pra,24,30,Mexico,2002,7149.374951,,Protected Areas,Tree cover loss,hectares
1,965958,MEX,,pra,24,30,Mexico,2003,6681.208567,,Protected Areas,Tree cover loss,hectares
1,965964,MEX,,pra,24,30,Mexico,2004,8874.79662,,Protected Areas,Tree cover loss,hectares
1,965970,MEX,,pra,24,30,Mexico,2005,10170.18387,,Protected Areas,Tree cover loss,hectares
1,965976,MEX,,pra,24,30,Mexico,2006,7401.633456,,Protected Areas,Tree cover loss,hectares
1,965982,MEX,,pra,24,30,Mexico,2007,9527.667307,,Protected Areas,Tree cover loss,hectares
1,965988,MEX,,pra,24,30,Mexico,2008,9493.151431,,Protected Areas,Tree cover loss,hectares
